statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
107,新北市板橋區,554742,23.1373,23976
107,新北市三重區,385826,16.317,23646
107,新北市中和區,412486,20.144,20477
107,新北市永和區,221098,5.7138,38695
107,新北市新莊區,417754,19.7383,21165
107,新北市新店區,302231,120.2255,2514
107,新北市樹林區,183946,33.1288,5552
107,新北市鶯歌區,86361,21.1248,4088
107,新北市三峽區,115820,191.4508,605
107,新北市淡水區,173502,70.6565,2456
107,新北市汐止區,200535,71.2354,2815
107,新北市瑞芳區,39982,70.7336,565
107,新北市土城區,236901,29.5578,8015
107,新北市蘆洲區,201332,7.4351,27079
107,新北市五股區,86329,34.8632,2476
107,新北市泰山區,78708,19.1603,4108
107,新北市林口區,110081,54.1519,2033
107,新北市深坑區,23634,20.5787,1148
107,新北市石碇區,7731,144.3498,54
107,新北市坪林區,6612,170.835,39
107,新北市三芝區,22978,65.9909,348
107,新北市石門區,12115,51.2645,236
107,新北市八里區,38906,39.4933,985
107,新北市平溪區,4666,71.3382,65
107,新北市雙溪區,8860,146.2484,61
107,新北市貢寮區,12301,99.9734,123
107,新北市金山區,21774,49.2132,442
107,新北市萬里區,22068,63.3766,348
107,新北市烏來區,6438,321.1306,20
107,臺北市松山區,205702,9.2878,22148
107,臺北市信義區,223406,11.2077,19933
107,臺北市大安區,308843,11.3614,27184
107,臺北市中山區,229456,13.6821,16771
107,臺北市中正區,159000,7.6071,20902
107,臺北市大同區,127625,5.6815,22463
107,臺北市萬華區,189603,8.8522,21419
107,臺北市文山區,273762,31.509,8688
107,臺北市南港區,121670,21.8424,5570
107,臺北市內湖區,287429,31.5787,9102
107,臺北市士林區,286544,62.3682,4594
107,臺北市北投區,255532,56.8216,4497
107,桃園市桃園區,447302,34.8046,12852
107,桃園市中壢區,412063,76.52,5385
107,桃園市大溪區,94885,105.1206,903
107,桃園市楊梅區,170380,89.1229,1912
107,桃園市蘆竹區,164384,75.5025,2177
107,桃園市大園區,90888,87.3925,1040
107,桃園市龜山區,160591,72.0177,2230
107,桃園市八德區,202198,33.7111,5998
107,桃園市龍潭區,123175,75.2341,1637
107,桃園市平鎮區,226412,47.7532,4741
107,桃園市新屋區,49210,85.0166,579
107,桃園市觀音區,67358,87.9807,766
107,桃園市復興區,12026,350.7775,34
107,臺中市中區,18514,0.8803,21031
107,臺中市東區,76175,9.2855,8204
107,臺中市南區,125874,6.8101,18483
107,臺中市西區,115698,5.7042,20283
107,臺中市北區,147557,6.9376,21269
107,臺中市西屯區,228630,39.8467,5738
107,臺中市南屯區,170618,31.2578,5458
107,臺中市北屯區,279297,62.7034,4454
107,臺中市豐原區,167025,41.1845,4056
107,臺中市東勢區,50256,117.4065,428
107,臺中市大甲區,77625,58.5192,1326
107,臺中市清水區,86862,64.1709,1354
107,臺中市沙鹿區,94079,40.4604,2325
107,臺中市梧棲區,58218,16.6049,3506
107,臺中市后里區,54775,58.9439,929
107,臺中市神岡區,65711,35.0445,1875
107,臺中市潭子區,108952,25.8497,4215
107,臺中市大雅區,95815,32.4109,2956
107,臺中市新社區,24576,68.8874,357
107,臺中市石岡區,14956,18.2105,821
107,臺中市外埔區,32230,42.4099,760
107,臺中市大安區,19267,27.4045,703
107,臺中市烏日區,75372,43.4032,1737
107,臺中市大肚區,57324,37.0024,1549
107,臺中市龍井區,77998,38.0377,2051
107,臺中市霧峰區,65619,98.0779,669
107,臺中市太平區,191752,120.7473,1588
107,臺中市大里區,212104,28.8758,7345
107,臺中市和平區,11015,1037.8192,11
107,臺南市新營區,77617,38.5386,2014
107,臺南市鹽水區,25395,52.2455,486
107,臺南市白河區,28105,126.4046,222
107,臺南市柳營區,21205,61.2929,346
107,臺南市後壁區,23346,72.2189,323
107,臺南市東山區,20788,124.9178,166
107,臺南市麻豆區,44260,53.9744,820
107,臺南市下營區,23916,33.5291,713
107,臺南市六甲區,22148,67.5471,328
107,臺南市官田區,21314,70.7953,301
107,臺南市大內區,9605,70.3125,137
107,臺南市佳里區,59083,38.9422,1517
107,臺南市學甲區,25665,53.9919,475
107,臺南市西港區,24690,33.7666,731
107,臺南市七股區,22732,110.1492,206
107,臺南市將軍區,19664,41.9796,468
107,臺南市北門區,11051,44.1003,251
107,臺南市新化區,43456,62.0579,700
107,臺南市善化區,48968,55.3097,885
107,臺南市新市區,36898,47.8096,772
107,臺南市安定區,30483,31.27,975
107,臺南市山上區,7317,27.878,262
107,臺南市玉井區,13997,76.3662,183
107,臺南市楠西區,9537,109.6316,87
107,臺南市南化區,8724,171.5198,51
107,臺南市左鎮區,4781,74.9025,64
107,臺南市仁德區,75878,50.7664,1495
107,臺南市歸仁區,68403,55.7913,1226
107,臺南市關廟區,34353,53.6413,640
107,臺南市龍崎區,3995,64.0814,62
107,臺南市永康區,234891,40.2753,5832
107,臺南市東區,186250,13.4156,13883
107,臺南市南區,124824,27.2681,4578
107,臺南市北區,132112,10.434,12662
107,臺南市安南區,193438,107.2016,1804
107,臺南市安平區,66775,11.0663,6034
107,臺南市中西區,78167,6.26,12487
107,高雄市鹽埕區,24059,1.4161,16990
107,高雄市鼓山區,140133,14.7523,9499
107,高雄市左營區,196872,19.3823,10157
107,高雄市楠梓區,185687,25.8276,7189
107,高雄市三民區,340913,19.7866,17229
107,高雄市新興區,51032,1.9764,25821
107,高雄市前金區,26831,1.8573,14446
107,高雄市苓雅區,169648,8.1522,20810
107,高雄市前鎮區,188340,19.1207,9850
107,高雄市旗津區,28506,1.4639,19473
107,高雄市小港區,157742,45.4426,3471
107,高雄市鳳山區,359519,26.759,13435
107,高雄市林園區,69870,32.286,2164
107,高雄市大寮區,112421,71.04,1583
107,高雄市大樹區,42390,66.9811,633
107,高雄市大社區,34604,26.5848,1302
107,高雄市仁武區,87694,36.0808,2430
107,高雄市鳥松區,44469,24.5927,1808
107,高雄市岡山區,97103,47.9421,2025
107,高雄市橋頭區,37650,25.9379,1452
107,高雄市燕巢區,29820,65.395,456
107,高雄市田寮區,7159,92.6802,77
107,高雄市阿蓮區,28658,34.6164,828
107,高雄市路竹區,52538,48.4348,1085
107,高雄市湖內區,29794,20.1615,1478
107,高雄市茄萣區,30089,15.7624,1909
107,高雄市永安區,13909,22.6141,615
107,高雄市彌陀區,19252,14.7772,1303
